rownumber,business_id,city,stars,review_count,is_open,category,day_time,week_day,hourofday,checkins
89,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-23,Sun,23,0
90,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-3,Sun,3,0
91,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-4,Sun,4,0
92,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-5,Sun,5,0
93,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-6,Sun,6,0
94,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-7,Sun,7,0
95,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-8,Sun,8,0
96,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-9,Sun,9,0
97,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-0,Thu,0,0
98,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-1,Thu,1,0
99,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-10,Thu,10,0
100,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-11,Thu,11,0
101,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-12,Thu,12,0
102,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-13,Thu,13,0
103,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-14,Thu,14,0
104,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-15,Thu,15,0
105,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-16,Thu,16,0
106,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-17,Thu,17,0
107,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-18,Thu,18,0
108,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-19,Thu,19,0
109,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-2,Thu,2,0
110,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-20,Thu,20,0
111,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-21,Thu,21,0
112,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-22,Thu,22,0
113,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-23,Thu,23,0
114,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-3,Thu,3,0
115,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-4,Thu,4,0
116,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-5,Thu,5,0
117,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-6,Thu,6,0
118,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-7,Thu,7,0
119,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-8,Thu,8,0
120,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Thu-9,Thu,9,0
121,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-0,Tue,0,0
122,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-1,Tue,1,0
123,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-10,Tue,10,0
124,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-11,Tue,11,0
125,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-12,Tue,12,0
126,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-13,Tue,13,0
127,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-14,Tue,14,0
128,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-15,Tue,15,0
129,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-16,Tue,16,0
130,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-17,Tue,17,0
131,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-18,Tue,18,0
132,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-19,Tue,19,0
133,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-2,Tue,2,0
134,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-20,Tue,20,0
135,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-21,Tue,21,0
136,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-22,Tue,22,0
137,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-23,Tue,23,0
138,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-3,Tue,3,0
139,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-4,Tue,4,0
140,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-5,Tue,5,0
141,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-6,Tue,6,0
142,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-7,Tue,7,0
143,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-8,Tue,8,0
144,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Tue-9,Tue,9,0
145,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-0,Wed,0,0
146,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-1,Wed,1,1
147,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-10,Wed,10,0
148,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-11,Wed,11,0
149,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-12,Wed,12,0
150,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-13,Wed,13,0
151,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-14,Wed,14,0
152,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-15,Wed,15,0
153,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-16,Wed,16,0
154,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-17,Wed,17,0
155,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-18,Wed,18,0
156,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-19,Wed,19,0
157,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-2,Wed,2,0
158,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-20,Wed,20,1
159,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-21,Wed,21,0
160,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-22,Wed,22,0
161,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-23,Wed,23,0
162,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-3,Wed,3,0
163,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-4,Wed,4,0
164,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-5,Wed,5,0
165,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-6,Wed,6,0
166,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-7,Wed,7,0
167,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-8,Wed,8,0
168,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Wed-9,Wed,9,0
169,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-0,Fri,0,0
170,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-1,Fri,1,0
171,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-10,Fri,10,0
172,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-11,Fri,11,0
173,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-12,Fri,12,0
174,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-13,Fri,13,0
175,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-14,Fri,14,0
176,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-15,Fri,15,0
177,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-16,Fri,16,0
178,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-17,Fri,17,0
179,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-18,Fri,18,0
180,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-19,Fri,19,0
181,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-2,Fri,2,0
182,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-20,Fri,20,0
183,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-21,Fri,21,0
184,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-22,Fri,22,0
185,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-23,Fri,23,0
186,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-3,Fri,3,0
187,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-4,Fri,4,0
188,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-5,Fri,5,0
189,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-6,Fri,6,0
190,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-7,Fri,7,0
191,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-8,Fri,8,0
192,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Fri-9,Fri,9,0
193,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-0,Mon,0,0
194,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-1,Mon,1,0
195,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-10,Mon,10,0
196,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-11,Mon,11,0
197,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-12,Mon,12,0
198,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-13,Mon,13,0
199,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-14,Mon,14,0
200,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-15,Mon,15,0
201,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-16,Mon,16,0
202,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-17,Mon,17,0
203,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-18,Mon,18,0
204,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-19,Mon,19,0
205,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-2,Mon,2,0
206,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-20,Mon,20,0
207,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-21,Mon,21,0
208,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-22,Mon,22,0
209,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-23,Mon,23,0
210,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-3,Mon,3,0
211,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-4,Mon,4,0
212,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-5,Mon,5,0
213,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-6,Mon,6,0
214,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-7,Mon,7,0
215,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-8,Mon,8,0
216,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Mon-9,Mon,9,0
217,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-0,Sat,0,0
218,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-1,Sat,1,0
219,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-10,Sat,10,0
220,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-11,Sat,11,0
221,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-12,Sat,12,0
222,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-13,Sat,13,0
223,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-14,Sat,14,0
224,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-15,Sat,15,0
225,_1t-Cxb39F43ta-rtN_hfg,Charlotte,2.5,12,1,Hotels & Travel,Sat-16,Sat,16,1
